text,tweet_text,tweet_langague,anger,anger_score,anticipation,anticipation_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,trust,trust_score,nrc_sentiment,nrc_sentiment_score
The wind said Black Lives Matter ,"['The', 'wind', 'said', 'Black', 'Lives', 'Matter']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.109,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
it’s not just about George Floyd he was just the straw that broke the camels back . ,"['it', 'is', 'not', 'just', 'about', 'George', 'Floyd', 'he', 'was', 'just', 'the', 'straw', 'that', 'broke', 'the', 'camels', 'back']",en,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43799999999999994,0.0,0.0,1.0,0.484,0.0,0.0,0.0,0.0,sadness,0.484
Every other basic response: “We stand with our black employees :)” Ben & Jerry’s: “WE GOTTA FUCKIN SMASH WHITE SUPREMACY. FUCK THE KKK AND FUCK YOU. BLACK LIVES MATTER. OUR NEW FLAVOR IS CALLED FUCK THE POLICE. ITS GOT BLUEBERRIES”,"['Every', 'other', 'basic', 'response', 'We', 'stand', 'with', 'our', 'black', 'employees', 'Ben', '&', 'jerry', 'is', 'WE', 'GOTTA', 'FUCKIN', 'SMASH', 'WHITE', 'SUPREMACY', 'FUCK', 'THE', 'KKK', 'AND', 'FUCK', 'YOU', 'BLACK', 'LIVES', 'MATTER', 'OUR', 'NEW', 'FLAVOR', 'IS', 'CALLED', 'FUCK', 'THE', 'POLICE', 'ITS', 'GOT', 'BLUEBERRIES']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.281,0.0,0.0,0.0,0.0,,0.0
All 50 states plus 18 countries participated in #BlackLivesMatter protests as of today making it the largest civil rights movement in world history wow,"['All', '50', 'states', 'plus', '18', 'countries', 'participated', 'in', 'BlackLives', 'Matter', 'protests', 'as', 'of', 'today', 'making', 'it', 'the', 'largest', 'civil', 'rights', 'movement', 'in', 'world', 'history', 'wow']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
This shit is real this gave me chills #blacklivesmatter #GeorgeFloyd #dcprotest,"['This', 'shit', 'is', 'real', 'this', 'gave', 'me', 'chills', '#blacklivesmatter', 'George', 'Floyd', '#dcprotest']",en,1.0,0.573,0.0,0.0,1.0,0.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6409999999999999,disgust,0.82
"Remember black lives matter not only when it comes to police brutality but in every aspect of society. BLM in the education system where schools receive insufficient funding. BLM in the health care system where too often black ppl, especially black women, receive improper care.","['Remember', 'black', 'lives', 'matter', 'not', 'only', 'when', 'it', 'comes', 'to', 'police', 'brutality', 'but', 'in', 'every', 'aspect', 'of', 'society', 'BLM', 'in', 'the', 'education', 'system', 'where', 'schools', 'receive', 'insufficient', 'funding', 'BLM', 'in', 'the', 'health', 'care', 'system', 'where', 'too', 'often', 'black', 'ppl', 'especially', 'black', 'women', 'receive', 'improper', 'care']",en,1.0,0.9590000000000001,0.0,0.0,0.0,0.0,2.0,1.25,1.0,0.493,9.0,0.8430000000000001,0.0,0.0,6.0,1.7730000000000001,trust,1.7730000000000001
when I say BLACK LIVES MATTER. I’m NOT talking about an organization. I AM talking about the literal black lives that have been stolen the past 400+ years documented and undocumented. I AM talking about the black lives of those still living. That’s all...,"['when', 'I', 'say', 'BLACK', 'LIVES', 'MATTER', 'i', 'am', 'NOT', 'talking', 'about', 'an', 'organization', 'I', 'AM', 'talking', 'about', 'the', 'literal', 'black', 'lives', 'that', 'have', 'been', 'stolen', 'the', 'past', '400', 'years', 'documented', 'and', 'undocumented', 'I', 'AM', 'talking', 'about', 'the', 'black', 'lives', 'of', 'those', 'still', 'living', 'that', 'is', 'all']",en,1.0,0.546,1.0,0.203,0.0,0.0,0.0,0.0,2.0,0.46799999999999997,4.0,0.562,1.0,0.125,1.0,0.516,sadness,0.562
The policeman said “You can record this because I need other people to hear this” Please stop blaming peaceful protestors and the Black Lives Matter movement for the destruction of various cities. A large amount of the destruction have come from white supremist groups. ,"['The', 'policeman', 'said', 'You', 'can', 'record', 'this', 'because', 'I', 'need', 'other', 'people', 'to', 'hear', 'this', 'Please', 'stop', 'blaming', 'peaceful', 'protestors', 'and', 'the', 'Black', 'Lives', 'Matter', 'movement', 'for', 'the', 'destruction', 'of', 'various', 'cities', 'A', 'large', 'amount', 'of', 'the', 'destruction', 'have', 'come', 'from', 'white', 'supremist', 'groups']",en,4.0,1.3119999999999998,2.0,0.656,0.0,0.0,5.0,1.715,2.0,0.745,0.0,0.0,1.0,0.086,3.0,1.4689999999999999,fear,1.715
"Since George Floyd was murdered 49 days ago, there have been AT LEAST 767 documented cases of police brutality. That’s almost 16 a day. ","['Since', 'George', 'Floyd', 'was', 'murdered', '49', 'days', 'ago', 'there', 'have', 'been', 'AT', 'LEAST', '767', 'documented', 'cases', 'of', 'police', 'brutality', 'that', 'is', 'almost', '16', 'a', 'day']",en,1.0,0.9590000000000001,0.0,0.0,0.0,0.0,2.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.484,fear,1.25
"look who my sister caught at Cub Foods in Plymouth. J. Alexander Keung, one of the officers who lynched #GeorgeFloyd in cold blood. ","['look', 'who', 'my', 'sister', 'caught', 'at', 'Cub', 'Foods', 'in', 'Plymouth', 'J.', 'Alexander', 'Keung', 'one', 'of', 'the', 'officers', 'who', 'lynched', 'GeorgeFloyd', 'in', 'cold', 'blood']",en,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.525,0.0,0.0,1.0,0.188,0.0,0.0,0.0,0.0,fear,0.525
We turned on the night light for him so he dreams about #BlackLivesMatter Plaza ,"['We', 'turned', 'on', 'the', 'night', 'light', 'for', 'him', 'so', 'he', 'dreams', 'about', 'BlackLives', 'Matter', 'Plaza']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.8559999999999999,0.0,0.0,0.0,0.0,0.0,0.0,joy,0.8559999999999999
"2 of the police officers charged with aiding and abetting the murder of George Floyd were previously students in the Sociology dept. at the University of Minnesota. Yesterday, my dept. sent the grad students an email requesting we stay silent if contacted by media. Y’all. (1/n)","['2', 'of', 'the', 'police', 'officers', 'charged', 'with', 'aiding', 'and', 'abetting', 'the', 'murder', 'of', 'George', 'Floyd', 'were', 'previously', 'students', 'in', 'the', 'Sociology', 'dept.', 'at', 'the', 'University', 'of', 'Minnesota', 'Yesterday', 'my', 'dept', 'sent', 'the', 'grad', 'students', 'an', 'email', 'requesting', 'we', 'stay', 'silent', 'if', 'contacted', 'by', 'media', 'you', 'all', '1', '/n']",en,1.0,0.897,0.0,0.0,1.0,0.8390000000000001,2.0,1.234,0.0,0.0,1.0,0.828,1.0,0.617,1.0,0.484,fear,1.234
GRAPHIC VIDEO: @AllentownPolice held down this man’s face to the pavement and then one of its officers placed their knee on his neck!! This happened yesterday and is exactly what led to #GeorgeFloyd’s death. We need this officer’s name and badge #NOW. #ICantBreathe,"['GRAPHIC', 'VIDEO', '@', 'Allentown', 'Police', 'held', 'down', 'this', 'man', 'is', 'face', 'to', 'the', 'pavement', 'and', 'then', 'one', 'of', 'its', 'officers', 'placed', 'their', 'knee', 'on', 'his', 'neck', 'This', 'happened', 'yesterday', 'and', 'is', 'exactly', 'what', 'led', 'to', '#georgefloyd', ""'s"", 'death', 'We', 'need', 'this', 'officer', ""'s"", 'name', 'and', 'badge', 'NOW', 'ICantBreathe']",en,1.0,0.574,1.0,0.39799999999999996,1.0,0.6559999999999999,1.0,0.843,0.0,0.0,2.0,1.1960000000000002,1.0,0.578,3.0,1.429,trust,1.429
Add @BTS_twt to the list of artists taking a stand against racism and supporting #BlackLivesMatter. These guys have amazing souls and hearts though so it’s no surprise. Respect fellas! ,"['Add', '@', 'BTS_twt', 'to', 'the', 'list', 'of', 'artists', 'taking', 'a', 'stand', 'against', 'racism', 'and', 'supporting', 'BlackLivesMatter', 'These', 'guys', 'have', 'amazing', 'souls', 'and', 'hearts', 'though', 'so', 'it', 'is', 'no', 'surprise', 'Respect', 'fellas']",en,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.172,2.0,1.187,0.0,0.0,0.0,0.0,2.0,1.078,joy,1.187
"I send deep love & heartfelt condolence to the family of #GeorgeFloyd. We love you George &amp; hate how you died. God rest your soul &amp; bring justice to the man who murdered you. On the obscene pillaging &amp; rape of our cities ongoing, I stand with @realDonaldTrump.","['I', 'send', 'deep', 'love', '&', 'heartfelt', 'condolence', 'to', 'the', 'family', 'of', 'GeorgeFloyd', 'We', 'love', 'you', 'George', '&amp', 'hate', 'how', 'you', 'died', 'God', 'rest', 'your', 'soul', 'bring', 'justice', 'to', 'the', 'man', 'who', 'murdered', 'you', 'On', 'the', 'obscene', 'pillaging', 'rape', 'of', 'our', 'cities', 'ongoing', 'I', 'stand', 'with', '@realDonaldTrump']",en,2.0,1.722,1.0,0.414,3.0,2.2729999999999997,2.0,1.354,8.0,3.745,5.0,3.391,0.0,0.0,6.0,2.961,joy,3.745
If you have posted a black screen for #BlackOutTuesday on Instagram please remove the #/blacklivesmatter so that people who are receiving their information there can still find it. ,"['If', 'you', 'have', 'posted', 'a', 'black', 'screen', 'for', 'BlackOutTuesday', 'on', 'Instagram', 'please', 'remove', 'the', 'blacklivesmatter', 'so', 'that', 'people', 'who', 'are', 'receiving', 'their', 'information', 'there', 'can', 'still', 'find', 'it']",en,1.0,0.35100000000000003,1.0,0.6409999999999999,0.0,0.0,1.0,0.32799999999999996,1.0,0.287,2.0,0.562,1.0,0.258,0.0,0.0,anticipation,0.6409999999999999
Live - #GeorgeFloyd Peaceful Protests in Downtown Houston ,"['Live', 'GeorgeFloyd', 'Peaceful', 'Protests', 'in', 'Downtown', 'Houston']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
We demand the arrest of ALL the officers involved in the murder of #GeorgeFloyd! #WeAreDoneDying #JusticeForGeorgeFloyd,"['We', 'demand', 'the', 'arrest', 'of', 'ALL', 'the', 'officers', 'involved', 'in', 'the', 'murder', 'of', 'GeorgeFloyd', 'We', 'AreDoneDying', 'Justice', 'ForGeorge', 'Floyd']",en,2.0,1.3820000000000001,0.0,0.0,1.0,0.8390000000000001,1.0,0.9059999999999999,0.0,0.0,1.0,0.828,1.0,0.617,0.0,0.0,anger,1.3820000000000001
"I’m sorry, but as much as I want justice and peace for George Floyd and his family, that event earlier today was a DNC Convention that featured a funeral.","['i', 'am', 'sorry', 'but', 'as', 'much', 'as', 'I', 'want', 'justice', 'and', 'peace', 'for', 'George', 'Floyd', 'and', 'his', 'family', 'that', 'event', 'earlier', 'today', 'was', 'a', 'DNC', 'Convention', 'that', 'featured', 'a', 'funeral']",en,0.0,0.0,1.0,0.43,0.0,0.0,0.0,0.0,2.0,1.076,1.0,0.8440000000000001,0.0,0.0,2.0,1.313,trust,1.313
"Today, Starbucks banned their employees from representing or supporting BLACK LIVES MATTER via clothes. Today, my father opened his dream café. An East African infused shop. Support your local small black businesses! 634 S Front Street Mankato, MN 56001 ","['Today', 'Starbucks', 'banned', 'their', 'employees', 'from', 'representing', 'or', 'supporting', 'BLACK', 'LIVES', 'MATTER', 'via', 'clothes', 'Today', 'my', 'father', 'opened', 'his', 'dream', 'café', 'An', 'East', 'African', 'infused', 'shop', 'Support', 'your', 'local', 'small', 'black', 'businesses', '634', 'S', 'Front', 'Street', 'Mankato', 'MN', '56001']",en,0.0,0.0,1.0,0.39799999999999996,0.0,0.0,0.0,0.0,1.0,0.484,1.0,0.281,0.0,0.0,2.0,1.25,trust,1.25
"16 Y/O BRAD LEVI AYALA WAS HIT IN THE HEAD BY A SNIPER WHILE PEACEFULLY PROTESTING IN AUSTIN, TEXAS!! SIGNAL BOOST THIS, DONT LET THIS GO UNSEEN! HE WAS JUST STANDING THERE, IM FUCKING LIVID. #DictatorTrump #protests2020 #GeorgeFlyod #MartialLaw #BlackLivesMatter ","['16', 'Y/O', 'BRAD', 'LEVI', 'AYALA', 'WAS', 'HIT', 'IN', 'THE', 'HEAD', 'BY', 'A', 'SNIPER', 'WHILE', 'PEACEFULLY', 'PROTESTING', 'IN', 'AUSTIN', 'TEXAS', 'SIGNAL', 'BOOST', 'THIS', 'DO', 'NT', 'LET', 'THIS', 'GO', 'UNSEEN', 'HE', 'WAS', 'JUST', 'STANDING', 'THERE', 'IM', 'FUCKING', 'LIVID', 'DictatorTrump', '#protests2020', 'GeorgeFlyod', 'Martial', 'Law', 'BlackLivesMatter']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Look at John McCain's Daughter making sense ..... #BlackLivesMatter ,"['Look', 'at', 'John', 'mccain', 'is', 'Daughter', 'making', 'sense', 'BlackLivesMatter']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Saw this on Tik Tok and honestly broke my heart. We need to spread awareness. #BlackLivesMatters ,"['Saw', 'this', 'on', 'Tik', 'Tok', 'and', 'honestly', 'broke', 'my', 'heart', 'We', 'need', 'to', 'spread', 'awareness', 'BlackLivesMatters']",en,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43799999999999994,1.0,0.547,1.0,0.484,0.0,0.0,1.0,0.609,trust,0.609
Black Lives Matter! Hispanic Lives Matter! Asian Lives Matter! Muslim Lives Matter. ....now here's the kicker. ...hold on and I hope you're sitting down this and get the kids out of the room cause what I'm gonna say will be rather explosive.....but ...White Lives Matter too.,"['Black', 'Lives', 'Matter', 'Hispanic', 'Lives', 'Matter', 'Asian', 'Lives', 'Matter', 'Muslim', 'Lives', 'Matter', 'now', 'here', 'is', 'the', 'kicker', 'on', 'and', 'I', 'hope', 'you', 'are', 'sitting', 'down', 'this', 'and', 'get', 'the', 'kids', 'out', 'of', 'the', 'room', 'cause', 'what', 'i', 'am', 'gon', 'na', 'say', 'will', 'be', 'rather', 'explosive', 'but', 'White', 'Lives', 'Matter', 'too']",en,1.0,0.894,2.0,1.296,0.0,0.0,1.0,0.8590000000000001,1.0,0.586,1.0,0.281,2.0,1.25,2.0,0.9690000000000001,anticipation,1.296
