text,tweet_text,tweet_langague,anger,anger_score,anticipation,anticipation_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,trust,trust_score,nrc_sentiment,nrc_sentiment_score
"Another remarkable visual: Peaceful #GeorgeFloyd demonstrators here outside the White House are now sitting, phone lights on, singing “Lean On Me” — all while military and federal police stand in front of military vehicles guarding the White House. ","['Another', 'remarkable', 'visual', 'Peaceful', 'George', 'Floyd', 'demonstrators', 'here', 'outside', 'the', 'White', 'House', 'are', 'now', 'sitting', 'phone', 'lights', 'on', 'singing', 'Lean', 'On', 'Me', 'all', 'while', 'military', 'and', 'federal', 'police', 'stand', 'in', 'front', 'of', 'military', 'vehicles', 'guarding', 'the', 'White', 'House']",en,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0779999999999998,3.0,1.31,0.0,0.0,1.0,0.5,2.0,1.046,joy,1.31
Week four is underway in Detroit. #DetroitWillBreathe #BlackLivesMatter ,"['Week', 'four', 'is', 'underway', 'in', 'Detroit', 'DetroitWillBreathe', 'BlackLivesMatter']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
This woman lays waste to “Black Lives Matter” that looted her business as she watched #BLM https://twitter.com/Mus1yMustafa/status/1267852417409916928/video/1,"['This', 'woman', 'lays', 'waste', 'to', 'Black', 'Lives', 'Matter', 'that', 'looted', 'her', 'business', 'as', 'she', 'watched', 'BLM']",en,0.0,0.0,0.0,0.0,1.0,0.695,0.0,0.0,0.0,0.0,1.0,0.348,0.0,0.0,0.0,0.0,disgust,0.695
"On Tuesday, #GeorgeFloyd was killed by police in an incident in #Minneapolis, captured on video, where an officer knelt on his neck for nine minutes as he lay on the ground. George’s family say they want the “four officers involved in his death to be charged with #MURDER”.","['On', 'Tuesday', 'GeorgeFloyd', 'was', 'killed', 'by', 'police', 'in', 'an', 'incident', 'in', 'Minneapolis', 'captured', 'on', 'video', 'where', 'an', 'officer', 'knelt', 'on', 'his', 'neck', 'for', 'nine', 'minutes', 'as', 'he', 'lay', 'on', 'the', 'ground', 'george', 'is', 'family', 'say', 'they', 'want', 'the', 'four', 'officers', 'involved', 'in', 'his', 'death', 'to', 'be', 'charged', 'with', 'MURDER']",en,1.0,0.574,1.0,0.39799999999999996,1.0,0.6559999999999999,2.0,1.1709999999999998,1.0,0.5,1.0,0.915,2.0,1.055,3.0,1.4909999999999999,trust,1.4909999999999999
Most people already know that I express myself through my art/ nails so here’s my latest set. #BlackLivesMatter period. ,"['Most', 'people', 'already', 'know', 'that', 'I', 'express', 'myself', 'through', 'my', 'art', 'nails', 'so', 'here', 'is', 'my', 'latest', 'set', 'BlackLives', 'Matter', 'period']",en,0.0,0.0,1.0,0.391,0.0,0.0,0.0,0.0,1.0,0.23399999999999999,1.0,0.0,1.0,0.172,0.0,0.0,anticipation,0.391
"While he hides behind his fence afraid/alone, I stand w/ people peacefully exercising their First Amendment Right after the murder of #GeorgeFloyd &amp; hundreds of years of institutional racism There are no vicious dogs &amp; ominous weapons. There is just a scared man. Afraid/alone...","['While', 'he', 'hides', 'behind', 'his', 'fence', 'afraid', 'alone', 'I', 'stand', 'w/', 'people', 'peacefully', 'exercising', 'their', 'First', 'Amendment', 'Right', 'after', 'the', 'murder', 'of', 'GeorgeFloyd', 'hundreds', 'of', 'years', 'of', 'institutional', 'racism', 'There', 'are', 'no', 'vicious', 'dogs', 'ominous', 'weapons', 'There', 'is', 'just', 'a', 'scared', 'man', 'Afraid', 'alone']",en,2.0,1.7810000000000001,1.0,0.633,2.0,1.5580000000000003,4.0,3.078,1.0,0.594,5.0,2.028,1.0,0.617,0.0,0.0,fear,3.078
Just finished a 12 hour shift & I had no patience for the foolishness. Back to the message.. today is #Juneteenth &amp; #BlackLivesMatter! ,"['Just', 'finished', 'a', '12', 'hour', 'shift', '&', 'I', 'had', 'no', 'patience', 'for', 'the', 'foolishness', 'Back', 'to', 'the', 'message', 'today', 'is', 'Juneteenth', 'BlackLives', 'Matter']",en,0.0,0.0,1.0,0.42200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.555,trust,0.555
"There are ways to arrest someone without using a CHOKEHOLD!! What’s happening in this video from Bellevue, WA (near Seattle) continues to happen in countless cities across America. It’s tragic and needs to STOP. Police brutality is a choice, plain and simple. #blacklivesmatter ","['There', 'are', 'ways', 'to', 'arrest', 'someone', 'without', 'using', 'a', 'CHOKEHOLD', 'what', 'is', 'happening', 'in', 'this', 'video', 'from', 'Bellevue', 'WA', 'near', 'Seattle', 'continues', 'to', 'happen', 'in', 'countless', 'cities', 'across', 'America', 'it', ""'s"", 'tragic', 'and', 'needs', 'to', 'STOP', 'Police', 'brutality', 'is', 'a', 'choice', 'plain', 'and', 'simple', '#blacklivesmatter']",en,1.0,0.9590000000000001,1.0,0.484,0.0,0.0,1.0,0.922,1.0,0.141,1.0,0.961,0.0,0.0,0.0,0.0,sadness,0.961
"Today, on #JUNETEENTH2020 a Fat Black Trans Woman Looks over NEW YORK !!! #BlackTransLivesMatter #BlackLivesMatter #ProudinMyCalvins @CalvinKlein","['Today', 'on', 'JUNETEENTH2020', 'a', 'Fat', 'Black', 'Trans', 'Woman', 'Looks', 'over', 'NEW', 'YORK', 'BlackTransLivesMatter', 'BlackLives', 'Matter', 'Proudin', 'MyCalvins', '@', 'CalvinKlein']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
Independent medical examiners determined #GeorgeFloyd’s death was due to asphyxia from sustained forceful pressure. Full statement: ,"['Independent', 'medical', 'examiners', 'determined', 'georgefloyd', 'is', 'death', 'was', 'due', 'to', 'asphyxia', 'from', 'sustained', 'forceful', 'pressure', 'Full', 'statement']",en,1.0,0.574,2.0,0.8359999999999999,1.0,0.6559999999999999,3.0,1.515,0.0,0.0,1.0,0.915,1.0,0.578,2.0,1.0550000000000002,fear,1.515
Y’all matter to us #BlackLivesMatter ,"['you', 'all', 'matter', 'to', 'us', 'BlackLives', 'Matter']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47700000000000004,trust,0.47700000000000004
Sarah Grossman DIED after getting teargassed at a Columbus #BlackLivesMatter protest fighting for justice. ANOTHER LIFE lost at the hands of police brutality… Enough is enough! #SarahGrossman https://www.thelantern.com/2020/06/columbus-looks-into-death-of-ohio-state-grad-who-attended-downtown-protests/,"['Sarah', 'Grossman', 'DIED', 'after', 'getting', 'teargassed', 'at', 'a', 'Columbus', 'BlackLives', 'Matter', 'protest', 'fighting', 'for', 'justice', 'ANOTHER', 'LIFE', 'lost', 'at', 'the', 'hands', 'of', 'police', 'brutality', 'Enough', 'is', 'enough', 'SarahGrossman']",en,2.0,1.827,0.0,0.0,0.0,0.0,2.0,1.25,0.0,0.0,1.0,0.625,0.0,0.0,2.0,1.1949999999999998,anger,1.827
A few scenes from the aftermath here in Minneapolis. #GeorgeFloyd #minneapolisriots,"['A', 'few', 'scenes', 'from', 'the', 'aftermath', 'here', 'in', 'Minneapolis', 'George', 'Floyd', '#minneapolisriots']",en,1.0,0.359,0.0,0.0,1.0,0.281,1.0,0.469,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,sadness,0.5
"The Market House in downtown Fayetteville is on fire. Protestors have shattered the windows and are chanting,”Black Lives Matter.” – at Market House","['The', 'Market', 'House', 'in', 'downtown', 'Fayetteville', 'is', 'on', 'fire', 'Protestors', 'have', 'shattered', 'the', 'windows', 'and', 'are', 'chanting', 'Black', 'Lives', 'Matter', 'at', 'Market', 'House']",en,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.636,0.0,0.0,1.0,0.63,0.0,0.0,0.0,0.0,fear,0.636
"I made a little series of #BLM headers to help show support, Please feel free to use them and share them, Black Lives Matter! ","['I', 'made', 'a', 'little', 'series', 'of', 'BLM', 'headers', 'to', 'help', 'show', 'support', 'Please', 'feel', 'free', 'to', 'use', 'them', 'and', 'share', 'them', 'Black', 'Lives', 'Matter']",en,0.0,0.0,1.0,0.445,0.0,0.0,1.0,0.203,2.0,0.982,0.0,0.0,0.0,0.0,3.0,1.321,trust,1.321
The president just retweeted a post attacking the character of George Floyd ,"['The', 'president', 'just', 'retweeted', 'a', 'post', 'attacking', 'the', 'character', 'of', 'George', 'Floyd']",en,1.0,0.865,0.0,0.0,1.0,0.547,1.0,0.8590000000000001,0.0,0.0,1.0,0.531,1.0,0.648,1.0,0.45299999999999996,anger,0.865
BREAKING. Some protesters have jumped the gated barrier at Lafayette Park. US Park Police push them back. The White House is behind the US Park Police l & the Secret Service. @MSNBC @nbcwashington #GeorgeFloyd – at The White House,"['BREAKING', 'Some', 'protesters', 'have', 'jumped', 'the', 'gated', 'barrier', 'at', 'Lafayette', 'Park', 'US', 'Park', 'Police', 'push', 'them', 'back', 'The', 'White', 'House', 'is', 'behind', 'the', 'US', 'Park', 'Police', 'l', '&', 'the', 'Secret', 'Service', '@MSNBC', '@nbcwashington', 'GeorgeFloyd', 'at', 'The', 'White', 'House']",en,1.0,0.287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
. @ICC and all the other boards are you guys not seeing what’s happening to ppl like me? Are you not gonna speak against the social injustice against my kind. This is not only about America. This happens everyday #BlackLivesMatter now is not the time to be silent. I wanna hear u,"['@ICC', 'and', 'all', 'the', 'other', 'boards', 'are', 'you', 'guys', 'not', 'seeing', 'what', 'is', 'happening', 'to', 'ppl', 'like', 'me', 'Are', 'you', 'not', 'gon', 'na', 'speak', 'against', 'the', 'social', 'injustice', 'against', 'my', 'kind', 'This', 'is', 'not', 'only', 'about', 'America', 'This', 'happens', 'everyday', 'BlackLives', 'Matter', 'now', 'is', 'not', 'the', 'time', 'to', 'be', 'silent', 'I', 'wan', 'na', 'hear', 'u']",en,1.0,0.5,1.0,0.516,0.0,0.0,1.0,0.281,1.0,0.621,1.0,0.312,0.0,0.0,3.0,1.4139999999999997,trust,1.4139999999999997
"Thanks for FaceTiming me from #BlackLivesMatter Plaza, Senator @KamalaHarris.","['Thanks', 'for', 'FaceTiming', 'me', 'from', 'BlackLives', 'Matter', 'Plaza', 'Senator', '@', 'KamalaHarris']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
"#BlackLivesMatter protest today in Stone Mountain, GA — a popular KKK gathering site. That’s 100s of armed Black men and women marching together in unity, evoking their 2nd amendment rights. ( @naomiruta)","['BlackLives', 'Matter', 'protest', 'today', 'in', 'Stone', 'Mountain', 'GA', 'a', 'popular', 'KKK', 'gathering', 'site', 'that', 'is', '100s', 'of', 'armed', 'Black', 'men', 'and', 'women', 'marching', 'together', 'in', 'unity', 'evoking', 'their', '2nd', 'amendment', 'rights', '@naomiruta']",en,1.0,0.7,0.0,0.0,0.0,0.0,1.0,0.703,1.0,0.39399999999999996,0.0,0.0,0.0,0.0,2.0,1.039,trust,1.039
Ayo this touched my heart #BlackLivesMatter ,"['Ayo', 'this', 'touched', 'my', 'heart', 'BlackLives', 'Matter']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.547,0.0,0.0,0.0,0.0,0.0,0.0,joy,0.547
“THE CROWD HAS DOUBLED IN SIZE”: @abc13houston Sky eye captures a huge crowd peacefully marching to #Houston city hall for #GeorgeFloyd. Thousands are still streaming in. WOW. LIVE COVERAGE: https://abc13.com/society/live-houstonians-march-in-support-of-george-floyds-family/6226152/,"['THE', 'CROWD', 'HAS', 'DOUBLED', 'IN', 'SIZE', '@abc13houston', 'Sky', 'eye', 'captures', 'a', 'huge', 'crowd', 'peacefully', 'marching', 'to', 'Houston', 'city', 'hall', 'for', 'GeorgeFloyd', 'Thousands', 'are', 'still', 'streaming', 'in', 'WOW', 'LIVE', 'COVERAGE']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.594,0.0,0.0,0.0,0.0,0.0,0.0,joy,0.594
"Members of the Central Park Five, the Black and Latino men who were wrongfully convicted as teenagers in an attack on a jogger, helped paint the words Black Lives Matter on New York’s Fifth Avenue right in front of Trump Tower. ","['Members', 'of', 'the', 'Central', 'Park', 'Five', 'the', 'Black', 'and', 'Latino', 'men', 'who', 'were', 'wrongfully', 'convicted', 'as', 'teenagers', 'in', 'an', 'attack', 'on', 'a', 'jogger', 'helped', 'paint', 'the', 'words', 'Black', 'Lives', 'Matter', 'on', 'New', 'york', 'is', 'Fifth', 'Avenue', 'right', 'in', 'front', 'of', 'Trump', 'Tower']",en,2.0,0.915,0.0,0.0,0.0,0.0,1.0,0.797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,0.915
"How fucked up is this: instead of honoring memory of #GeorgeFloyd videos gradually being posted showing shopkeepers-some minorities- being beaten brutally by greedy, looting rioters. Justice for Mr Floyd?","['How', 'fucked', 'up', 'is', 'this', 'instead', 'of', 'honoring', 'memory', 'of', 'GeorgeFloyd', 'videos', 'gradually', 'being', 'posted', 'showing', 'shopkeepers', 'some', 'minorities', 'being', 'beaten', 'brutally', 'by', 'greedy', 'looting', 'rioters', 'Justice', 'for', 'Mr', 'Floyd']",en,0.0,0.0,0.0,0.0,1.0,0.539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,disgust,0.539
 NEW — CLERGY member who was at St. Johns Church says: “I AM SO [EXPLETIVE] OFFENDED” They had NO idea President Trump was coming... “No one knew about this stunt” A clergy member is telling me right now that President Trump “walked on holy ground””sacrilege” #GeorgeFloyd @WUSA9,"['NEW', 'CLERGY', 'member', 'who', 'was', 'at', 'St.', 'Johns', 'Church', 'says', 'I', 'AM', 'SO', 'EXPLETIVE', 'OFFENDED', 'They', 'had', 'NO', 'idea', 'President', 'Trump', 'was', 'coming', 'No', 'one', 'knew', 'about', 'this', 'stunt', 'A', 'clergy', 'member', 'is', 'telling', 'me', 'right', 'now', 'that', 'President', 'Trump', 'walked', 'on', 'holy', 'ground', 'sacrilege', 'George', 'Floyd', '@WUSA9']",en,0.0,0.0,1.0,0.633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.39799999999999996,anticipation,0.633
Let’s all meet here soon. #BlackLivesMatter ,"['let', 'is', 'all', 'meet', 'here', 'soon', 'BlackLivesMatter']",en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
